country_name,avg_sanitation,sanitation_rank
Uzbekistan,100.00,1
Japan,100.00,1
"Republic of Korea",100.00,1
Singapore,100.00,1
Bermuda,100.00,1
Greenland,100.00,1
"Saint Pierre and Miquelon",100.00,1
"Puerto Rico",100.00,1
"Saint Barthélemy",100.00,1
"Saint Martin (French Part)",100.00,1
"Falkland Islands (Malvinas)",100.00,1
Bahrain,100.00,1
Kuwait,100.00,1
Qatar,100.00,1
"Saudi Arabia",100.00,1
Australia,100.00,1
"New Zealand",100.00,1
"New Caledonia",100.00,1
Seychelles,100.00,1
"Saint Helena",100.00,1
Israel,99.84,21
Malaysia,99.78,22
Chile,99.72,23
"United States of America",99.67,24
Réunion,99.50,25
Palau,99.34,26
Guadeloupe,99.33,27
Martinique,99.33,27
Cyprus,99.33,29
Canada,99.00,30
Curaçao,99.00,30
"Sint Maarten (Dutch part)",99.00,30
"United States Virgin Islands",99.00,30
Oman,99.00,30
"United Arab Emirates",99.00,30
"Cook Islands",98.67,36
Turkmenistan,98.44,37
Fiji,98.11,38
Kazakhstan,98.00,39
Aruba,98.00,39
Thailand,97.89,41
"State of Palestine",97.22,42
Kyrgyzstan,97.17,43
Barbados,97.17,43
Uruguay,97.11,45
Anguilla,97.00,46
"British Virgin Islands",97.00,46
"Costa Rica",97.00,46
Lebanon,97.00,46
"French Polynesia",97.00,46
Maldives,96.94,51
Türkiye,96.89,52
Egypt,96.78,53
Jordan,96.67,54
Iraq,96.56,55
Mayotte,96.50,56
Niue,96.33,57
Tokelau,96.33,57
Samoa,96.22,59
"Brunei Darussalam",96.00,60
Azerbaijan,96.00,60
Mauritius,95.84,62
Tajikistan,95.72,63
"Venezuela (Bolivarian Republic of)",95.33,64
Argentina,95.22,65
Bahamas,95.00,66
"Saint Kitts and Nevis",95.00,66
"Trinidad and Tobago",94.00,68
"Wallis and Futuna Islands",93.83,69
Tunisia,93.78,70
Tonga,93.72,71
"Sri Lanka",92.67,72
"French Guiana",92.00,73
Libya,92.00,73
Armenia,92.00,75
Grenada,91.00,76
Guam,90.00,77
"Syrian Arab Republic",89.95,78
Cuba,89.45,79
Paraguay,89.45,79
Colombia,88.78,81
Mexico,88.56,82
Ecuador,88.55,83
Belize,88.22,84
Montserrat,88.17,85
"Antigua and Barbuda",88.00,86
"Turks and Caicos Islands",88.00,86
"Micronesia (Federated States of)",88.00,86
China,87.78,89
"Iran (Islamic Republic of)",87.56,90
Guyana,87.16,91
"Saint Vincent and the Grenadines",87.00,92
Suriname,86.67,93
"Viet Nam",86.61,94
Jamaica,86.50,95
Georgia,85.00,96
Algeria,84.78,97
"Cayman Islands",84.00,98
Tuvalu,83.67,99
"Dominican Republic",83.50,100
Morocco,82.67,101
"Democratic People's Republic of Korea",82.06,102
"Saint Lucia",81.83,103
Honduras,81.11,104
"El Salvador",80.50,105
Brazil,80.11,106
Dominica,80.00,107
Indonesia,79.50,108
"Northern Mariana Islands",78.83,109
Philippines,78.72,110
"Lao People's Democratic Republic",78.61,111
Panama,78.23,112
"Marshall Islands",77.89,113
"South Africa",76.28,114
Myanmar,73.83,115
Bhutan,73.61,116
"Cabo Verde",73.33,117
Botswana,72.72,118
Peru,72.00,119
Nicaragua,71.56,120
Nepal,68.22,121
Guatemala,67.28,122
Cambodia,67.22,123
Pakistan,66.00,124
Nauru,66.00,124
India,65.78,126
"Equatorial Guinea",64.33,127
Rwanda,62.89,128
Mongolia,61.67,129
Eswatini,60.44,130
Timor-Leste,57.50,131
"Bolivia (Plurinational State of)",57.17,132
Yemen,56.72,133
Vanuatu,55.73,134
Senegal,55.00,135
"American Samoa",54.83,136
Djibouti,54.06,137
Bangladesh,50.67,138
Afghanistan,49.83,139
Gabon,46.61,140
Mauritania,46.45,141
Angola,45.67,142
Lesotho,45.28,143
Gambia,44.67,144
Burundi,44.50,145
Kiribati,44.17,146
"Solomon Islands",43.89,147
Mali,42.28,148
"Sao Tome and Principe",42.28,149
Cameroon,42.17,150
Nigeria,40.56,151
Sudan,40.00,152
Zimbabwe,38.17,153
Somalia,37.78,154
Comoros,37.67,155
Mozambique,36.72,156
Namibia,34.78,157
Haiti,34.55,158
Kenya,33.22,159
"Côte d'Ivoire",32.56,160
Zambia,31.72,161
"United Republic of Tanzania",31.50,162
Guinea,29.06,163
Malawi,28.06,164
"Papua New Guinea",27.84,165
"Burkina Faso",24.89,166
Niger,22.78,167
Uganda,21.50,168
Ghana,21.06,169
"South Sudan",19.45,170
Togo,18.89,171
Congo,17.50,172
Chad,17.45,173
Liberia,17.45,173
Guinea-Bissau,17.44,175
"Democratic Republic of the Congo",16.67,176
"Sierra Leone",16.61,177
Benin,16.28,178
"Central African Republic",16.22,179
Eritrea,13.33,180
Madagascar,12.17,181
Ethiopia,11.22,182
